Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
ZL213836	0	376	0	0	111	0	0
ZL214548	33	155	186	132	0	78	0
ZL214774	54	204	0	0	136	266	0
ZL215712	0	158	92	0	136	0	0
ZL217568	0	489	0	100	166	125	0
ZL217739	0	224	116	68	0	140	0
ZL471600	35	204	150	186	91	107	0
ZL685304	0	584	0	914	634	0	0
ZL724573	45	155	273	389	102	0	0
ZL769907	45	208	162	113	145	0	0
ZL788093	48	491	0	159	194	404	0
ZL811557	0	201	402	310	0	0	0
ZL838091	48	194	187	581	293	0	0
ZL885253	94	296	326	191	0	0	0
ZL903239	0	224	0	1974	862	0	0
ZL904678	137	551	356	0	259	169	0
ZL981061	45	187	343	83	112	0	0
ZL984521	37	235	193	239	0	90	0
ZL995439	46	252	0	0	139	537	0
ZL998638	42	334	213	0	106	85	0
