ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
mirna_mat::mirbase_mature::hsa-miR-1200::MIMAT0005863	1	0.99933919251217	1	NA	0.999996354041166	0.999999999951884	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1202::MIMAT0005865	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1203::MIMAT0005866	1	0.997382301281284	1	NA	0.999970104651796	0.999999997004556	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1204::MIMAT0005868	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1205::MIMAT0005869	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::mirbase_mature::hsa-miR-1206::MIMAT0005870	1	0.994941658525622	1	NA	0.999918119136709	0.999999978346716	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1207-3p::MIMAT0005872	1	0.994410516276759	1	NA	0.999904601819905	0.99999997077274	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1207-5p::MIMAT0005871	1	0.994410516276759	1	NA	0.999904601819905	0.99999997077274	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1208::MIMAT0005873	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-122-3p::MIMAT0004590	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-122-5p::MIMAT0000421	0.0564228522000361	1	0.216101943490101	0.84685	0.334781016075556	0.330110390867885	1.68599821775362	4.74496349744602
mirna_mat::mirbase_mature::hsa-miR-1224-3p::MIMAT0005459	1	0.997825496082327	1	NA	0.999977486932321	0.999999998283522	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1224-5p::MIMAT0005458	1	0.990265802163075	1	NA	0.999776918727885	0.999999845142942	1.96357211035013	3.05565554143572
mirna_mat::mirbase_mature::hsa-miR-1225-3p::MIMAT0005573	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
